Source_Pincode,Destination_Pincode,Number_of_Days
517505,673032,4
678552,532425,3
141121,792130,3
206126,673620,6
535124,603314,4
623603,630311,2
688502,614013,5
333302,466665,2
600075,638661,5
344026,394730,2
733143,632007,2
172023,577221,3
302001,700031,4
504299,413508,2
125007,631402,5
581332,847122,5
841405,231210,6
493229,609304,3
431806,680546,3
144506,624004,6
577539,600066,2
688503,721653,6
431604,756037,5
587118,401404,5
414006,125120,3
563136,796111,6
759148,577518,6
690104,680501,5
502329,486341,6
516215,144035,6
192303,390025,5
524321,273008,4
723101,490023,6
422301,444801,2
673523,323602,3
181111,582208,5
515701,630551,2
630611,207120,6
678534,845105,2
673633,627806,3
788001,759147,4
635811,501506,2
563128,795107,6
360060,731123,4
274506,686663,2
390012,396375,6
248197,152005,6
642001,462045,2
576124,628103,5
624210,700063,4
382424,152023,6
303302,284128,3
327026,670621,6
333023,641659,2
695572,759104,3
768018,825311,3
501501,852220,3
249126,532243,2
679305,635814,4
192122,795113,3
136035,516247,6
575029,690510,6
562111,608701,2
416110,431808,2
400027,854306,2
788832,801301,2
841227,743249,2
125042,735102,5
798603,682551,6
533261,396510,2
560019,400610,3
572118,829201,5
756113,175025,4
695004,673309,6
630301,382445,5
781382,425424,6
606807,606205,3
577415,781302,3
334602,641607,3
174002,755061,5
496551,643006,2
577434,845433,3
641664,383305,5
416305,203390,2
283151,443304,3
172023,522307,3
769010,501502,4
517390,400005,3
637411,474020,2
570018,203392,2
492001,824201,2
263630,464258,2
572105,609111,6
272190,322252,3
457555,636108,3
609404,496118,3
531118,500094,3
581325,673523,2
638055,246425,3
160025,457550,3
767022,131029,2
629701,781131,2
623529,501506,2
577597,304507,6
821115,843102,4
143149,423403,5
754246,362222,6
635701,736123,2
604202,305021,6
636307,177020,2
744204,518674,3
384421,415207,3
485114,802115,2
383335,125044,2
313004,680521,6
361160,500013,3
639117,628229,2
571315,441205,2
842002,472336,4
700038,679335,6
805109,621302,5
334302,388370,4
450331,581123,2
678102,576257,3
142040,503202,4
845417,182315,3
277209,327024,2
247771,364110,5
401604,591230,6
614738,143108,3
263623,600028,2
413514,334604,2
440007,533306,4
521246,515832,2
815312,423106,5
387115,695009,6
688011,491335,6
673603,425405,3
425406,500024,6
176022,732212,5
136038,534331,6
683518,732101,6
638313,175033,2
764045,690518,3
586206,231219,3
847235,764045,3
276123,306703,5
800009,410210,6
251301,271201,4
767041,815353,4
799004,636117,4
625214,629704,4
403002,784026,6
689111,524126,3
784508,524401,6
444312,641025,3
246449,177110,4
425307,723121,4
144020,230401,5
173220,387210,4
388340,627201,3
465697,570003,4
700077,182301,3
262401,495454,2
713373,630553,2
396155,305012,4
124506,560064,4
332602,333030,4
823003,680514,5
523372,700049,4
491340,522261,2
207243,639201,5
522601,736159,6
382024,630204,2
721442,144402,5
736179,518465,6
695506,821306,5
127026,573219,3
394120,804453,4
560078,208010,4
413224,277504,3
312001,441221,3
782103,508254,3
752056,785665,3
400084,204211,4
561203,603103,2
313327,823003,2
788103,799015,5
470339,143415,5
560109,362540,4
144606,799157,2
686541,425002,5
676301,385001,3
695001,262576,2
160002,413520,4
732141,563162,6
531034,403204,3
282007,491107,4
841434,755043,5
206001,711226,2
123103,761207,2
485881,464993,5
686505,389390,3
787051,522308,6
590001,530002,3
415629,458883,6
311802,785632,4
713156,229401,3
631701,241405,3
731127,689624,4
517588,383462,5
500012,171222,3
576111,246277,2
673005,144213,4
624005,574151,4
783134,508286,4
752054,490026,3
821303,784164,6
473670,757050,2
333041,758041,3
403728,586121,3
415412,281123,3
826004,605651,4
580002,770014,5
755050,518347,5
700138,852107,6
572124,276138,6
635854,721301,3
606202,841312,3
422222,769012,2
639008,764051,6
176314,151506,4
577429,560086,3
400003,712409,4
586216,641041,6
365660,854337,2
462011,483332,2
201016,505214,2
362002,799010,3
363410,311603,2
416232,517414,4
473287,472111,2
574225,230501,4
502255,274306,2
388450,721222,5
171012,786154,2
841505,444606,3
416205,854107,5
306601,680542,3
477555,303325,6
332714,305802,5
442707,770070,5
758043,606751,3
250223,304507,4
792120,573128,2
455339,624215,6
763003,626189,5
172029,600057,4
370160,603308,4
757043,383215,4
732212,816108,5
301703,781365,4
246446,571428,4
561206,414701,3
700152,281301,4
762001,630210,2
206244,191112,3
262502,388239,6
171219,224158,3
787057,801503,3
497001,443104,5
580001,192126,5
516126,248171,2
712137,587205,5
412301,493225,3
362610,638154,2
586217,440034,4
497442,141120,6
535463,248196,4
516312,731123,3
521366,764037,6
226202,600048,6
152115,734006,6
793102,496551,2
824216,523279,5
173221,614738,5
285126,680007,2
362001,813205,5
686518,474011,3
534324,275204,6
521138,522549,5
643242,609112,5
382007,388110,5
395009,424102,5
144517,689103,4
824201,577417,6
522663,224147,6
690537,813214,4
785685,391175,3
561202,516312,2
322211,680616,2
416109,326037,3
423212,686005,6
312403,182147,2
629602,843324,3
224189,584143,3
629804,576213,3
110043,689653,2
627757,457555,2
384430,762015,3
431702,524342,2
442902,743428,4
627416,507202,6
723213,678596,3
181101,580009,4
751001,584138,2
226005,713346,3
494553,388215,3
627814,620025,5
225207,691507,2
400018,380016,3
145023,854338,4
721628,413211,4
783127,421505,3
210121,176063,4
400053,632055,2
762022,641669,3
522009,721633,3
184121,755049,4
283125,143603,3
632314,571252,6
680103,176318,3
491888,414503,6
721426,713383,6
331506,711103,5
686587,431717,3
243720,752102,2
443106,331001,3
332042,845454,6
517643,695303,6
151502,172114,3
843331,152021,3
209870,205267,4
493229,508111,4
226027,143101,6
394140,396325,3
636806,581322,3
507302,344034,4
486890,742133,5
686509,415509,4
496001,572216,4
713103,335526,4
305202,396409,2
431603,686631,3
721302,712234,6
275102,444126,3
700063,611109,2
600033,333027,5
494665,422008,6
563134,721102,4
400705,845435,5
248146,190008,3
335001,250626,6
788724,517277,5
127027,713215,4
203129,851129,3
695585,623608,3
431731,560051,2
848504,613502,6
229208,734213,6
124505,786183,6
799131,176025,5
797120,712138,2
680541,121006,2
303328,822117,6
843104,824221,4
743194,799005,2
209747,603003,2
473101,262544,3
171003,482056,4
482020,229130,5
482003,222148,6
742134,612101,2
502319,843316,6
686613,521138,6
713335,391761,5
262529,600084,3
454331,756166,2
691590,835213,6
622301,686101,5
224146,532148,6
230304,413510,2
110026,387305,2
342309,423701,6
515101,586108,5
173025,811213,3
431002,413728,5
425428,686604,3
110024,591219,3
523001,721441,2
680712,721631,5
570028,841409,4
383225,626102,5
383330,230128,4
581213,781132,3
461221,144205,6
185156,722141,2
533294,444506,6
841217,764063,3
574224,423302,4
741250,712123,4
441101,742148,2
389220,680596,5
144510,571250,3
786181,795117,2
125033,421203,5
414001,231314,3
248008,209734,5
362266,591110,6
431750,246173,2
523184,847122,5
414103,628202,6
518466,624612,2
517291,722111,3
802164,785111,5
695503,431536,3
685607,403731,5
531030,585303,5
173030,765024,5
637019,122017,2
415709,509210,2
632105,209727,2
248141,754032,3
413728,224229,4
824206,741159,5
414003,758037,4
466118,691312,6
494331,733132,6
507301,144633,2
466448,635116,2
574231,791119,6
828120,721603,4
180010,680312,5
712514,713321,6
485113,845104,6
612101,493661,3
683563,781310,4
673570,721305,6
274808,141422,5
486117,472010,4
628218,799270,5
194404,688530,5
332305,148035,5
835226,571811,2
421402,639005,2
798626,577537,6
563103,711306,4
148021,143108,2
303807,770043,6
533250,506352,2
574202,639003,4
457885,844504,5
497001,626128,5
641012,515601,3
762102,483330,4
231225,636401,5
788736,680561,5
768118,847411,4
333023,342012,6
742302,517172,3
626119,482010,2
464331,574248,5
205264,757049,3
571429,685581,5
271306,533401,3
416801,244251,5
683521,785694,3
742238,508253,6
303109,125055,6
221101,412305,2
248196,313341,2
799131,383260,4
495691,276122,3
847409,679337,6
713304,829133,6
500033,344025,5
171003,389390,2
221001,843318,3
143008,393020,3
124202,603301,4
769012,768049,4
700043,785635,3
781315,782143,3
761126,700062,4
678011,305922,6
682559,534275,5
603001,500045,2
110033,416608,4
500056,627110,5
523373,416620,3
324004,691502,3
532405,276124,5
180007,516228,5
415202,132122,6
517129,515124,5
632503,630710,5
581108,140116,3
274201,208016,2
262907,562162,4
760007,273304,6
477222,382427,2
600073,766100,6
382735,327801,6
325219,767067,5
473770,691520,2
560068,177107,4
572111,274403,6
798611,412204,4
504273,574314,5
683108,364510,4
332403,691021,6
491107,364240,2
431505,508257,6
322215,762013,3
683581,403508,5
813205,606402,5
630562,523186,4
793004,313605,3
250406,516411,3
673314,305926,2
804418,402115,6
262907,221106,6
690110,721632,2
627719,829109,6
383210,521403,6
401208,678507,2
691333,609117,4
360003,402306,4
741101,306022,4
711107,506201,6
301416,431127,6
509336,177601,2
743249,171006,2
333707,577502,4
629202,423701,3
623806,756001,4
344035,123102,6
425309,534208,3
678533,191102,5
713347,362245,2
110068,416206,4
442105,580031,5
713156,770024,5
413582,493885,2
361011,383230,6
744204,686602,3
416119,608303,2
757019,783128,6
246746,394330,4
534281,182126,4
614713,753009,3
212401,752068,5
680656,517236,3
461116,737106,4
620018,712411,4
148100,133302,4
402101,628622,2
416419,700156,4
146102,700076,2
689594,678597,5
721222,496100,3
483110,272152,4
764003,515591,3
679581,431116,3
700124,442903,3
144806,144044,6
642105,584124,4
333307,625532,2
679307,521183,2
829131,423604,5
805128,732215,6
700144,495683,4
575001,813201,4
638458,788099,2
431806,572142,6
823005,533233,2
713165,695307,6
678721,572133,5
673504,146021,4
382640,802133,3
532459,424001,3
680685,781028,4
638006,758028,5
176031,364150,4
781349,785698,5
411017,141112,5
841423,626109,2
583120,785010,6
713305,194109,4
182104,796181,3
678512,388540,4
248014,401608,3
387530,413515,6
262305,173024,5
412108,756020,5
370610,208010,6
733140,224182,6
695582,442918,4
305630,363660,3
422101,505469,2
517391,332403,3
743337,629174,2
799207,785006,4
799261,695547,4
444901,630302,4
413133,600061,4
321405,788734,4
466445,209311,5
562157,144702,4
742102,815301,3
502314,798602,3
415203,241202,3
799010,695142,6
193121,804427,5
191201,303506,6
784180,403707,5
384430,306301,6
321633,688003,6
440023,735212,2
854312,431518,5
136026,143513,4
322203,486001,2
561209,605001,2
795114,362230,2
781329,686665,4
212659,721628,4
333304,176202,3
731235,191201,5
576213,626104,6
341024,389390,4
712707,572141,4
784115,360515,2
485334,413226,2
466114,792121,2
784176,795124,5
614805,501505,6
306114,533294,4
172002,854301,2
144208,636806,4
228155,184145,2
143521,207245,6
695012,402105,4
176102,678581,4
144408,827003,5
757107,847422,4
680589,500027,2
457001,580028,3
695010,823004,6
563131,754215,4
676106,574235,5
533263,521150,4
506343,678611,6
232108,474011,6
691543,246113,2
781011,273209,2
757053,632604,3
628209,560066,2
500078,221208,5
521332,262555,5
223226,312901,5
477333,723152,4
224229,515641,3
841240,523228,4
604101,686041,3
679102,572134,3
825302,689699,3
385555,176125,6
307513,754215,6
212206,847226,2
450116,637205,6
342008,500069,6
176317,392001,3
711109,176102,6
504313,361345,3
228155,272199,5
206121,414105,3
333305,396440,3
263633,500023,6
275205,689696,2
673602,334022,3
721127,765021,2
497226,781304,2
487110,623315,2
209601,263139,5
637102,629701,4
497446,391107,4
635810,783369,6
743368,201008,4
695027,131403,2
400054,485001,3
713323,690101,5
262531,768027,4
571213,788009,4
756171,122052,5
160018,225306,3
382265,854114,6
585330,854109,4
636457,176095,2
575023,362310,6
743396,521180,6
225409,629602,3
845426,473287,5
305628,175122,4
722107,133301,5
678003,781122,4
494223,603313,6
271205,361110,5
534266,307513,3
609607,638657,4
494230,755062,4
688504,506015,3
194403,388260,6
325218,804454,5
585324,444802,6
600125,508212,2
790106,344704,6
785640,223103,3
364710,678671,6
682036,361004,5
757093,360021,2
676309,518102,2
829119,273409,6
456010,385550,3
721423,232105,3
422222,801105,5
734004,304504,2
471625,423109,6
784505,577005,5
416209,581201,4
524412,453551,4
184152,521246,5
576115,623537,4
786181,127028,5
796111,612501,3
144521,689698,4
481663,416005,4
700126,682301,6
425504,475005,6
244927,416231,4
322255,635811,6
441804,110030,2
495550,332715,2
787061,243633,3
581115,517127,3
501102,271845,6
788112,756115,5
690561,689699,6
770018,845440,6
734501,686536,5
685532,752027,6
410206,485334,4
800014,533261,2
441109,606752,5
184101,415414,2
396195,611111,6
523292,591143,4
532186,415415,4
625020,509412,4
743331,144202,4
506135,491221,3
744303,415601,4
784507,480554,5
682552,263655,4
560104,416712,3
335041,495006,4
500052,742140,4
682001,497447,6
533341,392015,2
769013,741302,2
680668,518502,5
628712,400001,6
688538,636142,6
680563,400072,2
737101,247665,6
505514,451220,2
402105,494665,2
243001,636805,2
136033,631302,4
470441,415639,4
249410,713432,3
768228,683594,5
370030,380004,5
841235,177109,2
451228,781313,5
743312,382850,4
685616,614601,5
636139,143514,5
581347,580004,2
630313,641036,6
582204,600117,4
625515,785104,5
151102,638107,6
364240,673574,3
695584,630405,4
364270,721627,4
576108,583213,6
231226,531081,4
394163,425412,4
282010,835101,4
628210,465335,3
854330,263628,2
828110,574238,6
712146,211015,3
832104,364320,6
700011,494229,5
604409,181131,5
847337,758028,5
735219,306304,5
678102,762012,3
515411,272206,5
642129,416605,3
473665,431154,6
841240,847224,4
721153,143606,4
642103,496330,5
787055,735222,2
743701,690527,4
635124,609607,4
283112,360540,3
422610,206250,2
561205,754114,4
274207,721648,3
476355,500020,3
181131,505468,5
587117,639206,6
144509,413738,4
413624,563146,2
507001,793121,2
425403,324004,3
680103,784153,4
531026,423702,5
721454,585105,4
732121,176128,4
508376,173235,4
531118,803215,2
781369,174307,3
582204,741154,5
793112,452003,3
683518,226027,5
637504,680544,4
313002,143202,3
303505,626109,2
206250,670621,3
624709,783126,6
756139,768224,5
563136,531085,2
802183,171217,2
480882,495222,6
712702,425415,6
247666,441217,3
534007,202126,6
413204,385506,2
721122,230302,3
517418,246164,2
606105,144101,5
642207,638152,2
491228,229123,4
414111,143109,5
144509,487770,4
734313,854316,4
400029,503120,2
312901,431130,5
400075,743289,6
630211,741139,3
465335,737120,2
277401,173207,4
441914,403728,6
629003,788126,2
370030,623530,5
362640,734320,2
523111,476337,4
445402,492099,2
272176,841506,2
126113,250404,3
854117,756020,4
305923,614810,6
613102,523226,2
822134,518395,2
606808,503164,4
524307,263660,2
680697,171226,2
458113,242221,6
146104,533248,3
262552,802203,4
802165,311402,4
847307,110058,4
591246,733201,2
521165,341502,2
303329,247661,2
797110,785692,3
221603,495448,3
475005,227807,2
481885,500003,2
502277,177203,6
311601,500086,4
781315,535220,6
143422,500051,6
335703,781369,4
302015,641037,3
688009,246745,2
854106,530028,5
506244,272199,3
835209,415207,2
458468,604502,3
124111,630210,5
362130,781308,5
144417,141015,5
476221,413302,5
382250,431516,3
700082,262311,5
641663,721128,4
431147,122051,5
382021,680312,6
263630,127306,4
560036,332401,4
766107,341542,6
301413,741301,3
246172,363425,6
325209,388270,3
500085,228133,5
311601,312612,3
396045,277501,6
760001,761043,6
500030,680505,4
533105,843319,2
485772,574109,6
788725,622001,2
800022,785612,5
365550,676304,3
614017,424006,6
833220,785683,2
786612,686017,3
415406,535534,4
193402,516237,4
639113,247451,2
414701,799287,4
249408,670595,2
689641,452001,3
591128,752081,2
444202,626105,3
413404,314022,2
450116,335502,4
678008,314404,4
283204,125077,5
721463,799115,2
370150,530013,2
306102,222003,3
621315,846008,2
324004,700093,3
691566,799277,6
431503,174003,4
835213,396180,6
636011,847236,2
671124,721171,3
482020,733121,5
571610,821105,2
261203,795133,4
679333,176402,6
770032,306504,4
742212,415525,2
344012,486888,4
343025,785697,4
735305,483880,6
670591,321205,3
638457,679583,3
743609,382460,3
782441,691332,5
509219,144207,2
177033,757103,3
509219,676552,6
411008,802158,5
614805,852202,2
712136,360320,2
517325,783380,4
423202,841419,4
799014,768218,5
402112,762016,4
271902,431536,5
625520,784177,2
583118,766019,5
344032,560090,2
689545,301403,2
383430,799254,5
691582,721445,4
680545,678703,3
523112,176317,5
676121,821108,4
609402,231217,2
756120,700003,4
131001,680731,5
390001,471105,6
474004,735133,6
731245,370205,3
393025,176318,6
764001,415214,4
683111,307022,4
700078,333516,6
751007,272205,2
828104,144028,6
506009,472446,2
324010,176205,3
625707,635851,6
577302,581340,6
403001,176032,4
212402,382835,4
764037,415401,3
416805,151503,3
451770,243636,6
141126,210203,4
249122,770033,3
743128,400094,2
424206,689573,5
517418,322023,6
451115,412212,5
800017,180007,4
301703,841216,2
pincode,334302,5
577525,814145,3
721253,325201,5
110040,271601,6
416104,625523,4
492014,786623,4
396165,415728,6
712147,328025,4
509401,497226,2
635602,782003,6
783334,762100,5
682001,756181,3
585305,816120,6
723161,393130,5
768003,333053,6
679331,845412,4
201303,841243,2
843109,431115,3
520015,766032,2
572140,638453,4
735212,712105,4
535546,365460,6
632209,847407,3
172022,673016,6
636116,472001,2
191103,786102,6
534427,759116,6
515661,825406,6
362240,141118,4
627814,305004,2
413224,470663,5
591243,673580,4
691502,410406,5
345023,206001,3
224189,444606,5
230135,821103,3
741257,680545,4
181204,144805,2
603002,363425,4
804429,813204,3
402304,208020,4
756038,518411,2
673004,509001,4
324005,470001,4
571316,628619,5
755016,502113,2
271804,326037,4
383422,585412,3
191112,313015,3
673315,460001,3
224190,302005,2
415525,713142,5
451331,621705,4
571187,277209,2
124507,226012,6
416201,341515,2
394190,422622,3
176037,788120,5
122003,142038,5
193303,361010,4
403002,574253,4
506303,212305,3
416122,244922,3
416606,209210,5
422212,605102,4
441301,700154,5
136129,210120,3
734014,574226,6
390020,783370,5
591126,484446,5
521366,505211,6
581305,636102,4
844118,534340,4
562135,382250,4
331501,143009,5
134007,577205,3
805105,490026,3
682008,691559,6
609501,229406,5
412801,422302,5
584118,445215,6
563119,711314,4
413133,626005,4
175134,847305,6
846008,573111,2
222203,393020,3
313901,768025,3
629151,110094,6
683587,733125,4
813102,382750,2
614805,284127,4
743437,791002,3
671541,175016,4
641011,522647,2
206243,811212,3
676121,735213,2
825106,757051,5
450116,560081,2
303110,690571,3
606708,761037,6
403504,272271,2
276001,581362,4
450221,335022,4
721140,713369,3
431807,517587,5
136156,638316,2
622504,761054,4
125078,413518,2
642127,733142,6
229302,679591,5
458118,621205,3
152114,500050,5
844502,575017,5
621601,712105,6
175025,171206,3
343032,221306,6
410208,721101,3
515787,247664,5
364070,110026,3
493335,574219,5
638315,172023,6
303313,391165,2
395004,203395,6
631209,341517,5
685571,496001,3
503305,201015,2
246159,125038,4
632312,441601,3
791002,625515,5
507203,759021,4
246488,416213,5
331403,629703,6
523246,421312,3
517587,184201,5
496334,412109,4
303702,146104,4
